id,text_combined,text_cleaned,type,language,priority,queue,word_count_cleaned,is_empty
0,"Unvorhergesehener Absturz der Datenanalyse-Plattform Die Datenanalyse-Plattform brach unerwartet ab, da die Speicheroberfläche zu gering war. Ich habe versucht, Laravel 8 und meinen MacBook Pro neu zu starten, aber das Problem behält sich bei. Ich benötige Ihre Unterstützung, um diesen Fehler zu beheben.",unvorhergesehener absturz datenanalyseplattform datenanalyseplattform brach unerwartet ab da speicheroberfläche gering habe versucht laravel meinen macbook pro neu starten problem behält benötige ihre unterstützung diesen fehler beheben,Incident,de,low,General Inquiry,26,False
1,"Customer Support Inquiry Seeking information on digital strategies that can aid in brand growth and details on the available services. Looking forward to learning more to help our business grow. Thank you, and I look forward to hearing from you soon.",customer support inquiry seeking information digital strategies can aid brand growth details available services looking forward learning more help business grow thank look forward hearing soon,Request,en,medium,Customer Service,26,False
2,"Data Analytics for Investment I am contacting you to request information on data analytics tools that can be utilized with the Eclipse IDE for enhancing investment optimization. I am seeking suggestions for tools that can aid in making data-driven decisions. Particularly, I am interested in tools that can manage large datasets and offer advanced analytics features. These tools should be compatible with the Eclipse IDE and can smoothly integrate into my workflow. Key features I am interested in include data visualization, predictive modeling, and machine learning capabilities. I would greatly appreciate any recommendations or advice on how to begin with data analytics for investment optimization using the Eclipse IDE.",data analytics investment contacting request information data analytics tools can utilized eclipse ide enhancing investment optimization seeking suggestions tools can aid making datadriven decisions particularly interested tools can manage large datasets offer advanced analytics features tools should compatible eclipse ide can smoothly integrate workflow key features interested include data visualization predictive modeling machine learning capabilities would greatly appreciate any recommendations advice how begin data analytics investment optimization using eclipse ide,Request,en,medium,Customer Service,70,False
3,"Krankenhaus-Dienstleistung-Problem Ein Medien-Daten-Sperrverhalten trat aufgrund unerlaubten Zugriffes auf. Eine schwache Passwortauswahl ist wahrscheinlich die Ursache. Nach dem Versuch, das Passwort zu ändern, behält das Problem leider anhaltend Bestand.",krankenhausdienstleistungproblem mediendatensperrverhalten trat aufgrund unerlaubten zugriffes schwache passwortauswahl wahrscheinlich ursache versuch passwort ändern behält problem leider anhaltend bestand,Incident,de,high,Customer Service,18,False
4,"Security Dear Customer Support, I am reaching out to inquire about the security protocols you have in place to protect medical data. As a valued customer, I want to ensure that my sensitive health information is handled with the utmost care and confidentiality. Could you please provide me with information on the measures you take to safeguard medical data? Additionally, I would appreciate it if you could inform me about any certifications or compliances your company adheres to, such as HIPAA. I am also keen to know if you have any specific measures to prevent data breaches and unauthorized access. Thank you for your time and assistance. I look forward to your prompt response.",security dear customer support reaching inquire security protocols place protect medical data valued customer want ensure sensitive health information handled utmost care confidentiality could please provide information measures take safeguard medical data additionally would appreciate could inform any certifications compliances company adheres such hipaa also keen know any specific measures prevent data breaches unauthorized access thank time assistance look forward prompt response,Request,en,medium,Customer Service,62,False
5,Concerns About Securing Medical Data on 2-in-1 Convertible Laptop with Norton 360 Inquiring about best practices for securing medical data on a 2-in-1 Convertible Laptop. Currently have Norton 360 installed and need guidance on how to properly configure it to protect sensitive medical information. Would greatly appreciate any tips or recommendations you can offer.,concerns securing medical data convertible laptop norton inquiring best practices securing medical data convertible laptop currently norton installed need guidance how properly configure protect sensitive medical information would greatly appreciate any tips recommendations can offer,Request,en,medium,Technical Support,35,False
6,"Ratung für Sicherung medizinischer Daten in HubSpot CRM PostgreSQL-Umgebungen Ratung, ob es möglich ist, Sicherung medizinischer Daten in HubSpot CRM PostgreSQL-Umgebungen durchzuführen? Danke.",ratung sicherung medizinischer daten hubspot crm postgresqlumgebungen ratung ob möglich sicherung medizinischer daten hubspot crm postgresqlumgebungen durchzuführen danke,Request,de,medium,Technical Support,18,False
7,"Problem with Integration The integration stopped working unexpectedly, causing synchronization errors between our platforms. This might be due to recent modifications to the API. Despite attempting to restart services and examining logs, the problem remains unresolved. I would be grateful for your help in addressing this issue.",problem integration integration stopped working unexpectedly causing synchronization errors platforms might due recent modifications api despite attempting restart services examining logs problem remains unresolved would grateful help addressing issue,Problem,en,high,IT Support,29,False
8,"Assistance Request Dear Customer Support, I am writing in regards to a recently detected data blocker in our medical data sets. This issue might stem from outdated PHP versions. Despite updating the Elasticsearch and Terraform configurations, the problem persists. I would appreciate any assistance you can provide at your earliest convenience to resolve this matter. Kindly inform me of any additional information you require to continue the investigation and resolution. I look forward to hearing from you soon. Thank you for your time and support. Kind regards, [Your Name]",assistance request dear customer support writing regards recently detected data blocker medical data sets issue might stem outdated php versions despite updating elasticsearch terraform configurations problem persists would appreciate any assistance can provide earliest convenience resolve matter kindly inform any additional information require continue investigation resolution look forward hearing soon thank time support kind regards name,Problem,de,high,Product Support,56,False
9,Support Request The latest data analysis reports are inconsistent. Potential causes might be input errors due to recent software updates. Please check the input data and re-run the analysis. The issue persists.,support request latest data analysis reports inconsistent potential causes might input errors due recent software updates please check input data rerun analysis issue persists,Problem,de,high,Product Support,24,False
